ensid,entrezid,symbol,logFC,logCPM,F,PValue,FDR
ENSG00000185686,23532,PRAME,2.24606146812628,6.91719158137485,4914.53506057064,0,0
ENSG00000174564,53833,IL20RB,-1.32565257892666,6.75942275910228,3825.28189238239,1.34073910110806e-304,5.79534476453957e-301
ENSG00000161634,117159,DCD,-4.6756007466507,6.34449986924757,3683.87267066986,8.83961518495602e-301,2.54728244246483e-297
ENSG00000171476,84525,HOPX,-1.18396995689366,6.99767633293933,3590.38629811592,3.89812869030899e-297,8.4248306319303e-294
ENSG00000106258,1577,CYP3A5,-1.39567249892218,6.59077917401786,4726.46602019518,1.02729625102849e-291,1.77619521802826e-288
ENSG00000110484,4250,SCGB2A2,-4.39813284828159,6.17302970822396,3335.43775547956,8.69147002673904e-287,1.25229597301932e-283
ENSG00000173338,10089,KCNK7,-1.40586451134093,6.524004705332,3407.36441607838,2.38060906664269e-279,2.94005219730372e-276
ENSG00000198483,148741,ANKRD35,-1.28541859768091,6.71098002301421,3234.51441428575,1.06954317223809e-275,1.15577509049979e-272
ENSG00000244617,151516,ASPRV1,-1.18998560979827,6.92144881927039,3051.04746937131,1.83910137002392e-274,1.76655903820631e-271
ENSG00000091128,22798,LAMB4,-1.78797930698111,6.50751950461126,2965.78260546342,1.37449251107143e-270,1.18824877582125e-267
ENSG00000102287,2564,GABRE,-1.2886870700728,6.66566220718064,2842.63443702874,7.77377447392839e-265,6.10948002973736e-262
ENSG00000172867,3849,KRT2,-3.00629179999395,6.777047960971,2817.01147758213,1.29417016572145e-263,9.32341756888498e-261
ENSG00000149527,9651,PLCH2,-1.23055666805908,6.81022969811869,2811.31239740954,2.42563382414114e-263,1.61304649305386e-260
ENSG00000068078,2261,FGFR3,-1.26933577619796,6.91253233528543,2809.26470113365,3.04060903614806e-263,1.87757607982143e-260
ENSG00000186395,3858,KRT10,-0.938992201394446,7.4120774767105,4910.02200115268,2.89237995627126e-261,1.66697498146434e-258
ENSG00000163141,149428,BNIPL,-1.74767281561673,6.63281773351144,2735.31786223884,1.16073403759142e-259,6.27159109686113e-257
ENSG00000110723,23086,EXPH5,-1.3475259718183,6.69690776838842,2694.07565153757,1.24488620099882e-257,6.33061247507928e-255
ENSG00000230387,100505664,LOC100505664,-3.15933296097836,6.18235075212249,2672.49191936599,1.46997487177984e-256,7.05996264807597e-254
ENSG00000140379,597,BCL2A1,1.46196199849888,6.67046075028923,2942.98168549473,9.66528687639045e-256,4.39770552875766e-253
ENSG00000172824,283848,CES4A,-1.36687321971745,6.60760049541491,2650.59783492662,1.82704639882708e-255,7.89740805893006e-253
ENSG00000204618,80352,RNF39,-1.25929889193901,6.64574324155962,2594.15361026684,7.3158371852339e-251,3.01168630792129e-248
ENSG00000143217,81607,NECTIN4,-1.38576477043665,6.77516357318237,2533.2192453278,1.78041266555331e-249,6.99621249714018e-247
ENSG00000162040,64711,HS3ST6,-3.45771256631266,6.17481326487772,2505.3198164185,5.07047861221447e-248,1.90583859141713e-245
ENSG00000168350,123099,DEGS2,-1.37916371674846,6.60980471652645,2477.09819317931,1.54505218341428e-246,5.56540671900685e-244
ENSG00000148600,92211,CDHR1,-1.58911251084289,6.81687598532413,2395.16847413141,3.71942653539713e-242,1.28617769594033e-239
ENSG00000198854,100129271,C1orf68,-3.75235459258589,6.34725628676149,2385.07201493213,1.31280596044114e-241,4.36507981846679e-239
ENSG00000118785,6696,SPP1,1.31510823878926,7.00162741432216,2383.70408671352,1.55791334568797e-241,4.98820773091576e-239
ENSG00000111319,6337,SCNN1A,-1.39353845161404,6.67509829494928,2362.09004028954,2.35216829142725e-240,7.26231959978163e-238
ENSG00000189182,374454,KRT77,-3.50884524171159,6.39858997670083,2312.96093881109,1.20642772912251e-237,3.59640266147037e-235
ENSG00000064270,9914,ATP2C2,-1.6195136602765,6.48885735538104,2312.10481947077,1.34618606410717e-237,3.87925950806883e-235
ENSG00000197953,344752,AADACL2,-3.49610911742666,6.14315432447003,2252.36523761693,3.04577383688192e-234,8.4937789741433e-232
ENSG00000143520,388698,FLG2,-2.62460835897578,6.7357277849235,2239.75365822828,1.58595067823369e-233,4.2845448791657e-231
ENSG00000186204,66002,CYP4F12,-2.32658621566467,6.3755521353075,2231.54995572075,4.65614481789448e-233,1.21976884699084e-230
ENSG00000189433,127534,GJB4,-3.14916067778865,6.21667552470759,2222.24054218368,1.58615111797447e-232,4.03302247496744e-230
ENSG00000166869,63928,CHP2,-3.11155105609102,6.3142784896946,2211.51838858479,6.5385864293682e-232,1.61503084805394e-229
ENSG00000149043,90019,SYT8,-2.51582949014831,6.37687738877729,2178.61627284076,5.21074908957895e-230,1.25130349665028e-227
ENSG00000124466,27076,LYPD3,-1.05416470321182,7.00822965069037,2167.93437600567,2.18140560420864e-229,5.09682471577939e-227
ENSG00000137709,25833,POU2F3,-2.34287961594133,6.43415545049503,2137.53915644684,1.31981397032634e-227,3.00257678249242e-225
ENSG00000103067,80004,ESRP2,-1.49542959853019,6.59500286672884,2121.12693739463,1.23111544833672e-226,2.72897257714639e-224
ENSG00000114812,7433,VIPR1,-1.43929588072821,6.59921332471169,2112.6567055051,3.91685099627968e-226,8.46529421570947e-224
ENSG00000104140,171177,RHOV,-1.51890503461668,6.64226746446991,2096.21814776916,3.73786571114969e-225,7.88142660314368e-223
ENSG00000178597,768239,PSAPL1,-3.4045678419841,6.37365585996717,2090.95517282575,7.7171790130901e-225,1.58845268019438e-222
ENSG00000107485,2625,GATA3,-1.07421419707397,6.88449873278805,2253.74160838165,2.44149423613549e-224,4.90853899334681e-222
ENSG00000184292,4070,TACSTD2,-1.33187290712136,6.90139936203371,2077.81152463692,4.74500154508164e-224,9.32284962664336e-222
ENSG00000188112,647024,C6orf132,-1.19285435542827,6.74851759745784,2070.85768884799,1.24454965740645e-223,2.39091817517305e-221
ENSG00000196407,284486,THEM5,-2.133544639802,6.41362708581846,2063.29435758888,3.56163217459948e-223,6.69354568465489e-221
ENSG00000167769,125981,ACER1,-2.77835343807408,6.29059168073325,2054.95451830379,1.13912450419079e-222,2.0952619869637e-220
ENSG00000165953,145264,SERPINA12,-2.73009766716142,6.50346408101479,2050.04735671944,2.26130243112293e-222,4.07269989938703e-220
ENSG00000169562,2705,GJB1,1.24026684666346,6.83337362037776,2188.64962190808,4.10525945070319e-222,7.24285060231206e-220
ENSG00000159455,26239,LCE2B,-3.66927194530516,6.30778712631566,2029.15940649664,4.24330421167608e-221,7.33667298198794e-219
ENSG00000143631,2312,FLG,-1.11384946270941,7.13777426799282,2031.48624983441,4.47605605444593e-221,7.5873538413108e-219
ENSG00000179148,59344,ALOXE3,-2.13701396941452,6.48260166389517,2012.35932089972,4.55728350063812e-220,7.57648381981088e-218
ENSG00000203782,4014,LORICRIN,-3.26505500774201,6.55773088732039,1992.65590874166,7.51235558732728e-219,1.22536441608386e-216
ENSG00000189143,1364,CLDN4,-1.26444205247003,6.78129406147032,1984.69860992407,2.34280509991346e-218,3.75065742384294e-216
ENSG00000164855,202915,TMEM184A,-1.78770357802412,6.54755343274483,1983.50940596833,2.77766001941307e-218,4.36597652142291e-216
ENSG00000188001,285386,TPRG1,-1.19177040135727,6.60611602338839,2938.99877440211,4.97954447873526e-218,7.68717178904756e-216
ENSG00000204538,170680,PSORS1C2,-2.16883422699051,6.421922935805,1971.52979589795,1.54997399811553e-217,2.35079389714188e-215
ENSG00000134317,29841,GRHL1,-1.08322689005793,6.8151840911735,2886.61154080458,1.81029295558928e-215,2.69827286225334e-213
ENSG00000105131,79852,EPHX3,-1.41023309129197,6.60749564480102,1910.68180814315,1.07996178457702e-213,1.58241858096073e-211
ENSG00000131746,84951,TNS4,-1.72379418238854,6.74481312184212,1907.04525693612,1.8442476096096e-213,2.65725343084583e-211
ENSG00000141579,79755,ZNF750,-2.04544199043367,6.60222369644217,1888.49527876279,2.85912820858609e-212,4.05199399397159e-210
ENSG00000155066,150696,PROM2,-1.44510748999089,6.70013217248504,1876.03797032182,1.82092115982693e-211,2.53901023011351e-209
ENSG00000141738,2886,GRB7,-1.74479035626233,6.46579486887314,1869.49726706425,4.83019435092379e-211,6.62810002598987e-209
ENSG00000196734,353132,LCE1B,-3.18368496580397,6.27586611778478,1857.92946808602,2.72785786566616e-210,3.68473925760687e-208
ENSG00000137857,53905,DUOX1,-1.09840610525775,6.83830380269878,1849.12422316537,1.0240631966223e-209,1.36200405150766e-207
ENSG00000118520,383,ARG1,-2.66052382526826,6.31222933316992,1844.1034692719,2.18156063952052e-209,2.85751389828105e-207
ENSG00000110675,55531,ELMOD1,-2.15922529178049,6.31220558581319,1828.41955142697,2.33774519064302e-208,3.01638913031476e-206
ENSG00000092295,7051,TGM1,-1.26408010233701,6.69677551539455,1823.49443686973,4.93766973780253e-208,6.27737571813277e-206
ENSG00000084110,3034,HAL,-1.95483789248114,6.42294666947832,1812.9854699667,2.44597498758301e-207,3.06455851705146e-205
ENSG00000124429,79983,POF1B,-2.36083044163175,6.54679489397678,1812.76950873871,2.52791411743712e-207,3.12197393503484e-205
ENSG00000126233,57152,SLURP1,-3.24096847807832,6.36047315631329,1804.91102515907,8.40039340431793e-207,1.02283663352575e-204
ENSG00000176092,55057,CRYBG2,-1.63262002985137,6.52063715272675,1800.64104134225,1.61563697124777e-206,1.93988633561625e-204
ENSG00000204421,80740,LY6G6C,-2.83430228387585,6.45801811974459,1795.02766573629,3.8235259810435e-206,4.52799754878371e-204
ENSG00000115112,29842,TFCP2L1,-1.08266991657671,6.82889216101145,1778.46880969722,4.9070882381882e-205,5.73267267826176e-203
ENSG00000167767,144501,KRT80,-1.33536383553162,6.89145177822288,1770.44308771844,1.70056084077036e-204,1.96017979579464e-202
ENSG00000189001,374897,SBSN,-1.6836597310461,6.94293996715262,1766.61402266496,3.86141741163209e-204,4.39236230573151e-202
ENSG00000076826,57662,CAMSAP3,-1.35576210067652,6.73343630159655,1764.25329840044,4.44672767362177e-204,4.99246243356626e-202
ENSG00000066468,2263,FGFR2,-1.41935225883017,6.64839593656484,1760.75076441426,7.66839183926915e-204,8.49913428852331e-202
ENSG00000197084,353133,LCE1C,-3.14031598944037,6.32487722850199,1760.19563871266,8.36071736395227e-204,9.08710429350701e-202
ENSG00000150054,143098,MPP7,-1.24994316715439,6.61241212090969,1760.15857040308,8.40911906860105e-204,9.08710429350701e-202
ENSG00000203786,448834,KPRP,-3.04155797578205,6.49344412522679,1753.02733263385,2.5569371433826e-203,2.72897797586946e-201
ENSG00000187180,353140,LCE2C,-3.48316386972577,6.21105462984952,1751.85654195551,3.07002667543828e-203,3.23663178160536e-201
ENSG00000171954,126410,CYP4F22,-1.93254353783199,6.48014925089546,1748.47781476652,5.20651921319359e-203,5.42293477085043e-201
ENSG00000134765,1823,DSC1,-2.81784441119315,6.50089490441827,1737.52231239607,2.9006529468769e-202,2.98525532449415e-200
ENSG00000261150,83481,EPPK1,-1.54815200518343,6.6584792174088,1731.18403826714,7.86208672868672e-202,7.99620467876431e-200
ENSG00000109101,8456,FOXN1,-3.0002537900639,6.27948244526571,1723.84115141481,2.50367649358629e-201,2.51677712640157e-199
ENSG00000156463,153769,SH3RF2,-1.70565772949713,6.62333523234011,1722.70479513118,2.9961106823637e-201,2.97716975276255e-199
ENSG00000073282,8626,TP63,-1.27770749636676,6.81595642559817,1711.68486240953,1.71634858845579e-200,1.68611744854549e-198
ENSG00000153294,221393,ADGRF4,-2.57699992829306,6.3254439165645,1706.37939738191,3.98797041755987e-200,3.87370834379832e-198
ENSG00000150556,130576,LYPD6B,-2.10433094713266,6.37045174688272,1683.18307954616,1.62472890245117e-198,1.56064237352115e-196
ENSG00000184828,201501,ZBTB7C,-1.11346131740476,6.68742196260977,1676.29442716505,4.9183467533981e-198,4.6724294157282e-196
ENSG00000189280,2709,GJB5,-2.14780415155083,6.39903674116434,1674.89240988159,6.16434688396443e-198,5.79247595781223e-196
ENSG00000064195,1747,DLX3,-1.74807803049167,6.51572114234392,1674.639892181,6.42031045925543e-198,5.9681273032541e-196
ENSG00000175315,1474,CST6,-2.02875776613717,6.53267312914067,1672.22780483854,9.47160934770046e-198,8.71085774583728e-196
ENSG00000106123,2051,EPHB6,-0.989623261648876,6.92718106758161,2888.04196447709,1.12500203434242e-197,1.0237518512516e-195
ENSG00000179477,242,ALOX12B,-2.12022176211291,6.4954062978153,1661.64060206708,5.24302740600326e-197,4.72145540884356e-195
ENSG00000117595,3664,IRF6,-1.1611776464038,6.86391196524034,1660.00804816917,6.83066166653591e-197,6.08773918630958e-195
ENSG00000162069,146439,BICDL2,-1.88505024636104,6.49549562617431,1658.85535945385,8.23421113840201e-197,7.26375053994748e-195
ENSG00000256812,84290,CAPNS2,-1.99496048081242,6.38150380450783,1658.49940783075,8.72352021111371e-197,7.61765982071495e-195
ENSG00000088002,6820,SULT2B1,-1.43195719571673,6.66000386493301,1654.00875520896,1.8083507350474e-196,1.56331921044848e-194
ENSG00000261040,645638,WFDC21P,-1.57195032025172,6.45708063700921,1650.33909846381,3.28416514704634e-196,2.81105026695204e-194
ENSG00000096696,1832,DSP,-1.04312417033081,7.23247191794048,1649.95207250214,4.77390389195222e-196,4.04611756332617e-194
ENSG00000176387,3291,HSD11B2,-1.07820160316604,6.71038088825655,2947.17621412536,8.8807420644616e-196,7.45378787837578e-194
ENSG00000168907,255189,PLA2G4F,-2.54371060494737,6.51194285516199,1641.24808839576,1.44573988479192e-195,1.20177127923328e-193
ENSG00000016402,53832,IL20RA,-2.12190537202985,6.36040981804025,1641.05664093047,1.49166371369386e-195,1.22813645760794e-193
ENSG00000147697,56169,GSDMC,-1.61012319717596,6.45437951467608,1640.1081752564,1.74167957222661e-195,1.42045470772633e-193
ENSG00000065618,1308,COL17A1,-1.5932816356102,6.87778691407314,1635.30277539388,3.82237856880594e-195,3.08826754461003e-193
ENSG00000149451,80332,ADAM33,-1.08622661730582,6.68768155929184,1850.81059219825,6.54220358058802e-195,5.23679166242439e-193
ENSG00000196542,165679,SPTSSB,-2.11558829987596,6.35783569180356,1627.89973166821,1.28692822196175e-194,1.02068756686783e-192
ENSG00000175121,149708,WFDC5,-3.08943422313709,6.34106513044217,1625.14059516147,2.02517935331398e-194,1.59160686449085e-192
ENSG00000104055,9333,TGM5,-2.08295928733725,6.41584347480913,1621.31852722719,3.79840716075724e-194,2.9583090004276e-192
